CensusTract,State,County,Urban,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,ZIP
48013960100,Texas,Atascosa County,0,0,0,0,0,78264
48013960201,Texas,Atascosa County,0,0,0,0,0,78002
48013960201,Texas,Atascosa County,0,0,0,0,0,78005
48013960201,Texas,Atascosa County,0,0,0,0,0,78052
48013960201,Texas,Atascosa County,0,0,0,0,0,78065
48013960201,Texas,Atascosa County,0,0,0,0,0,78069
48013960202,Texas,Atascosa County,0,0,0,0,1,78005
48013960202,Texas,Atascosa County,0,0,0,0,1,78011
48013960202,Texas,Atascosa County,0,0,0,0,1,78026
48013960202,Texas,Atascosa County,0,0,0,0,1,78064
48013960202,Texas,Atascosa County,0,0,0,0,1,78065
48013960202,Texas,Atascosa County,0,0,0,0,1,78069
48013960202,Texas,Atascosa County,0,0,0,0,1,78073
48013960300,Texas,Atascosa County,1,0,1,0,0,78012
48013960300,Texas,Atascosa County,1,0,1,0,0,78065
48013960401,Texas,Atascosa County,0,0,0,0,0,78064
48013960401,Texas,Atascosa County,0,0,0,0,0,78065
48013960401,Texas,Atascosa County,0,0,0,0,0,78264
48013960402,Texas,Atascosa County,1,0,0,0,0,78026
48013960402,Texas,Atascosa County,1,0,0,0,0,78064
48013960402,Texas,Atascosa County,1,0,0,0,0,78065
48013960500,Texas,Atascosa County,0,1,1,0,0,78005
48013960500,Texas,Atascosa County,0,1,1,0,0,78011
48013960500,Texas,Atascosa County,0,1,1,0,0,78026
48013960600,Texas,Atascosa County,1,0,0,0,0,78012
48013960600,Texas,Atascosa County,1,0,0,0,0,78026
48013960600,Texas,Atascosa County,1,0,0,0,0,78064
48013960600,Texas,Atascosa County,1,0,0,0,0,78065
48015760100,Texas,Austin County,0,0,0,0,0,77474
48015760100,Texas,Austin County,0,0,0,0,0,77485
48015760200,Texas,Austin County,0,0,0,0,0,77473
48015760200,Texas,Austin County,0,0,0,0,0,77474
48015760300,Texas,Austin County,0,0,0,0,0,77418
48015760300,Texas,Austin County,0,0,0,0,0,77474
48015760300,Texas,Austin County,0,0,0,0,0,78933
48015760400,Texas,Austin County,0,0,0,0,0,77418
